
 num     #instances         #bytes  class name
 153:            14           2016  java.text.DecimalFormat
 154:            63           2016  javax.management.MBeanAttributeInfo
 155:            82           1968  java.util.Vector
 156:            49           1960  org.apache.tomcat.util.buf.CharChunk
 157:            60           1920  java.util.zip.ZipCoder
 158:            48           1920  org.apache.tomcat.util.buf.MessageBytes
 159:            78           1872  java.util.Collections$UnmodifiableMap
 160:            56           1792  java.lang.reflect.WeakCache$CacheValue
 161:            56           1792  javax.management.ObjectName
 162:            44           1760  sun.util.locale.LocaleObjectCache$CacheEntry
 163:            31           1736  org.apache.tomcat.util.res.StringManager$1
 164:            16           1664  org.springframework.beans.factory.support.GenericBeanDefinition
 165:            51           1632  java.lang.reflect.Proxy$Key1
 166:            68           1632  org.apache.catalina.util.ManifestResource
 167:            68           1632  org.springframework.http.HttpStatus
 168:            50           1600  sun.reflect.annotation.AnnotationType
 169:            66           1584  java.security.Provider$ServiceKey
 170:             3           1576  [[B
 171:            27           1512  java.security.Provider$Service
 172:            61           1464  org.springframework.asm.Type
 173:            13           1456  java.util.GregorianCalendar
 174:            36           1440  java.security.AccessControlContext
 175:            60           1440  java.util.ArrayDeque
 176:            19           1432  [J
 177:             1           1376  [Lsun.misc.FDBigInteger;
 178:            86           1376  java.util.Collections$UnmodifiableSet
 179:            21           1344  java.util.regex.Pattern
 180:            42           1344  org.springframework.http.MediaType
 181:            61           1328  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 182:            33           1320  java.util.PropertyResourceBundle
 183:            33           1320  org.springframework.util.ConcurrentReferenceHashMap
 184:            40           1280  sun.management.DiagnosticCommandArgumentInfo
 185:            53           1272  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 186:            26           1248  java.util.TreeMap
 187:            39           1248  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 188:            13           1248  sun.util.calendar.Gregorian$Date
 189:            31           1240  java.util.EnumMap
 190:            22           1232  org.springframework.web.method.HandlerMethod
 191:            53           1200  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 192:            75           1200  [Lsun.reflect.generics.tree.FieldTypeSignature;
 193:            30           1200  java.time.temporal.ChronoField
 194:            30           1200  java.time.temporal.ValueRange
 195:            50           1200  org.springframework.core.convert.TypeDescriptor
 196:            74           1184  com.sun.proxy.$Proxy26
 197:            72           1152  [Ljava.security.Principal;
 198:            72           1152  java.security.ProtectionDomain$Key
 199:            72           1152  org.apache.juli.logging.DirectJDKLog
 200:            35           1120  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
